Evolution Chain,Stage 1,Stage 2,Stage 3
308,golett,golurk,
309,pawniard,bisharp,kingambit
310,bouffalant,,
311,rufflet,braviary,
312,vullaby,mandibuzz,
313,heatmor,,
314,durant,,
315,deino,zweilous,hydreigon
316,larvesta,volcarona,
317,cobalion,,
318,terrakion,,
319,virizion,,
320,tornadus,,
321,thundurus,,
322,reshiram,,
323,zekrom,,
324,landorus,,
325,kyurem,,
326,keldeo,,
327,meloetta,,
328,genesect,,
329,chespin,quilladin,chesnaught
330,fennekin,braixen,delphox
331,froakie,frogadier,greninja
332,bunnelby,diggersby,
333,fletchling,fletchinder,talonflame
334,scatterbug,spewpa,vivillon
335,litleo,pyroar,
336,flabebe,floette,florges
337,skiddo,gogoat,
338,pancham,pangoro,
339,furfrou,,
340,espurr,meowstic,
341,honedge,doublade,aegislash
342,spritzee,aromatisse,
343,swirlix,slurpuff,
344,inkay,malamar,
345,binacle,barbaracle,
346,skrelp,dragalge,
347,clauncher,clawitzer,
348,helioptile,heliolisk,
349,tyrunt,tyrantrum,
350,amaura,aurorus,
351,hawlucha,,
352,dedenne,,
353,carbink,,
354,goomy,sliggoo,goodra
355,klefki,,
356,phantump,trevenant,
357,pumpkaboo,gourgeist,
358,bergmite,avalugg,
359,noibat,noivern,
360,xerneas,,
361,yveltal,,
362,zygarde,,
363,diancie,,
364,hoopa,,
365,volcanion,,
366,rowlet,dartrix,decidueye
367,litten,torracat,incineroar
368,popplio,brionne,primarina
369,pikipek,trumbeak,toucannon
370,yungoos,gumshoos,
371,grubbin,charjabug,vikavolt
372,crabrawler,crabominable,
373,oricorio,,
374,cutiefly,ribombee,
375,rockruff,lycanroc,
376,wishiwashi,,
377,mareanie,toxapex,
378,mudbray,mudsdale,
379,dewpider,araquanid,
380,fomantis,lurantis,
381,morelull,shiinotic,
382,salandit,salazzle,
383,stufful,bewear,
384,bounsweet,steenee,tsareena
385,comfey,,
386,oranguru,,
387,passimian,,
388,wimpod,golisopod,
389,sandygast,palossand,
390,pyukumuku,,
391,type-null,silvally,
392,minior,,
393,komala,,
394,turtonator,,
395,togedemaru,,
396,mimikyu,,
397,bruxish,,
398,drampa,,
399,dhelmise,,
400,jangmo-o,hakamo-o,kommo-o
401,tapu-koko,,
402,tapu-lele,,
403,tapu-bulu,,
404,tapu-fini,,
405,cosmog,cosmoem,solgaleo
406,nihilego,,
407,buzzwole,,
408,pheromosa,,
409,xurkitree,,
410,celesteela,,
411,kartana,,
412,guzzlord,,
413,necrozma,,
414,magearna,,
415,marshadow,,
416,poipole,naganadel,
417,stakataka,,
418,blacephalon,,
419,zeraora,,
420,meltan,,
421,melmetal,,
422,grookey,thwackey,rillaboom
423,scorbunny,raboot,cinderace
424,sobble,drizzile,inteleon
425,skwovet,greedent,
426,rookidee,corvisquire,corviknight
427,blipbug,dottler,orbeetle
428,nickit,thievul,
429,gossifleur,eldegoss,
430,wooloo,dubwool,
431,chewtle,drednaw,
432,yamper,boltund,
433,rolycoly,carkol,coalossal
434,applin,flapple,appletun
435,silicobra,sandaconda,
436,cramorant,,
437,arrokuda,barraskewda,
438,toxel,toxtricity,
439,sizzlipede,centiskorch,
440,clobbopus,grapploct,
441,sinistea,polteageist,
442,hatenna,hattrem,hatterene
443,impidimp,morgrem,grimmsnarl
444,milcery,alcremie,
445,falinks,,
446,pincurchin,,
447,snom,frosmoth,
448,stonjourner,,
449,eiscue,,
450,indeedee,,
451,morpeko,,
452,cufant,copperajah,
453,dracozolt,,
454,arctozolt,,
455,dracovish,,
456,arctovish,,
457,duraludon,archaludon,
458,dreepy,drakloak,dragapult
459,zacian,,
460,zamazenta,,
461,eternatus,,
462,kubfu,urshifu,
463,zarude,,
464,regieleki,,
465,regidrago,,
466,glastrier,,
467,spectrier,,
468,calyrex,,
469,enamorus,,
470,sprigatito,floragato,meowscarada
471,fuecoco,crocalor,skeledirge
472,quaxly,quaxwell,quaquaval
473,lechonk,oinkologne,
474,tarountula,spidops,
475,nymble,lokix,
476,pawmi,pawmo,pawmot
477,tandemaus,maushold,
478,fidough,dachsbun,
479,smoliv,dolliv,arboliva
480,squawkabilly,,
481,nacli,naclstack,garganacl
482,charcadet,armarouge,ceruledge
483,tadbulb,bellibolt,
484,wattrel,kilowattrel,
485,maschiff,mabosstiff,
486,shroodle,grafaiai,
487,bramblin,brambleghast,
488,toedscool,toedscruel,
489,klawf,,
490,capsakid,scovillain,
491,rellor,rabsca,
492,flittle,espathra,
493,tinkatink,tinkatuff,tinkaton
494,wiglett,wugtrio,
495,bombirdier,,
496,finizen,palafin,
497,varoom,revavroom,
498,cyclizar,,
499,orthworm,,
500,glimmet,glimmora,
501,greavard,houndstone,
502,flamigo,,
503,cetoddle,cetitan,
504,veluza,,
505,dondozo,,
506,tatsugiri,,
507,great-tusk,,
508,scream-tail,,
509,brute-bonnet,,
510,flutter-mane,,
511,slither-wing,,
512,sandy-shocks,,
513,iron-treads,,
514,iron-bundle,,
515,iron-hands,,
516,iron-jugulis,,
517,iron-moth,,
518,iron-thorns,,
519,frigibax,arctibax,baxcalibur
520,gimmighoul,gholdengo,
521,wo-chien,,
522,chien-pao,,
523,ting-lu,,
524,chi-yu,,
525,roaring-moon,,
526,iron-valiant,,
527,koraidon,,
528,miraidon,,
529,walking-wake,,
530,iron-leaves,,
531,poltchageist,sinistcha,
532,okidogi,,
533,munkidori,,
534,fezandipiti,,
535,ogerpon,,
536,gouging-fire,,
537,raging-bolt,,
538,iron-crown,,
539,iron-boulder,,
540,terapagos,,
541,pecharunt,,
