Move ID,Move Name,Move Effect,Power,Accuracy,PP,Type,Damage Class
19,fly,"Inflicts regular damage.  User flies high into the air for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind still hit the user normally.  gust and twister also have double power against the user.

The damage from hail and sandstorm still applies during the immune turn.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.",90,95,15,flying,physical
20,bind,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15,85,20,normal,physical
21,slam,Inflicts regular damage.,80,75,20,normal,physical
22,vine-whip,Inflicts regular damage.,45,100,25,grass,physical
23,stomp,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pokémon that have used minimize since entering the field.",65,100,20,normal,physical
24,double-kick,Inflicts regular damage.  Hits twice in one turn.,30,100,30,fighting,physical
25,mega-kick,Inflicts regular damage.,120,75,5,normal,physical
26,jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",100,95,10,fighting,physical
27,rolling-kick,Inflicts regular damage.  Has a 30% chance to make the target flinch.,60,85,15,fighting,physical
28,sand-attack,Lowers the target's accuracy by one stage.,,100,15,ground,status
29,headbutt,Inflicts regular damage.  Has a 30% chance to make the target flinch.,70,100,15,normal,physical
30,horn-attack,Inflicts regular damage.,65,100,25,normal,physical
31,fury-attack,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15,85,20,normal,physical
32,horn-drill,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,30,5,normal,physical
33,tackle,Inflicts regular damage.,40,100,35,normal,physical
34,body-slam,Inflicts regular damage.  Has a 30% chance to paralyze the target.,85,100,15,normal,physical
35,wrap,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",15,90,20,normal,physical
36,take-down,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,90,85,20,normal,physical
37,thrash,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",120,100,10,normal,physical
38,double-edge,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,120,100,15,normal,physical
39,tail-whip,Lowers the target's Defense by one stage.,,100,30,normal,status
40,poison-sting,Inflicts regular damage.  Has a 30% chance to poison the target.,15,100,35,poison,physical
41,twineedle,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.,25,100,20,bug,physical
42,pin-missile,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",25,95,20,bug,physical
43,leer,Lowers the target's Defense by one stage.,,100,30,normal,status
44,bite,Inflicts regular damage.  Has a 30% chance to make the target flinch.,60,100,25,dark,physical
45,growl,Lowers the target's Attack by one stage.,,100,40,normal,status
46,roar,"Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain.",,,20,normal,status
47,sing,Puts the target to sleep.,,55,15,normal,status
48,supersonic,Confuses the target.,,55,20,normal,status
49,sonic-boom,Inflicts exactly 20 damage.,,90,20,normal,special
50,disable,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",,100,20,normal,status
51,acid,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,40,100,30,poison,special
52,ember,Inflicts regular damage.  Has a 10% chance to burn the target.,40,100,25,fire,special
53,flamethrower,Inflicts regular damage.  Has a 10% chance to burn the target.,90,100,15,fire,special
54,mist,"Pokémon on the user's side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",,,30,ice,status
55,water-gun,Inflicts regular damage.,40,100,25,water,special
56,hydro-pump,Inflicts regular damage.,110,80,5,water,special
57,surf,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",90,100,15,water,special
58,ice-beam,Inflicts regular damage.  Has a 10% chance to freeze the target.,90,100,10,ice,special
59,blizzard,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",110,70,5,ice,special
60,psybeam,Inflicts regular damage.  Has a 10% chance to confuse the target.,65,100,20,psychic,special
61,bubble-beam,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.,65,100,20,water,special
62,aurora-beam,Inflicts regular damage.  Has a 10% chance to lower the target's Attack by one stage.,65,100,20,ice,special
63,hyper-beam,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",150,90,5,normal,special
64,peck,Inflicts regular damage.,35,100,35,flying,physical
65,drill-peck,Inflicts regular damage.,80,100,20,flying,physical
66,submission,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,80,80,20,fighting,physical
67,low-kick,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
",,100,20,fighting,physical
68,counter,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",,100,20,fighting,physical
69,seismic-toss,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",,100,20,fighting,physical
70,strength,Inflicts regular damage.,80,100,15,normal,physical
71,absorb,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,20,100,25,grass,special
72,mega-drain,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,40,100,15,grass,special
73,leech-seed,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.",,90,10,grass,status
74,growth,"Raises the user's Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",,,20,normal,status
75,razor-leaf,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,55,95,25,grass,physical
76,solar-beam,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",120,100,10,grass,special
77,poison-powder,Poisons the target.,,75,35,poison,status
78,stun-spore,Paralyzes the target.,,75,30,grass,status
79,sleep-powder,Puts the target to sleep.,,75,15,grass,status
80,petal-dance,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.",120,100,10,grass,special
81,string-shot,Lowers the target's Speed by two stages.,,95,40,bug,status
82,dragon-rage,Inflicts exactly 40 damage.,,100,10,dragon,special
83,fire-spin,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",35,85,15,fire,special
84,thunder-shock,Inflicts regular damage.  Has a 10% chance to paralyze the target.,40,100,30,electric,special
85,thunderbolt,Inflicts regular damage.  Has a 10% chance to paralyze the target.,90,100,15,electric,special
86,thunder-wave,Paralyzes the target.,,90,20,electric,status
87,thunder,"Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy.",110,70,10,electric,special
88,rock-throw,Inflicts regular damage.,50,90,15,rock,physical
89,earthquake,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",100,100,10,ground,physical
90,fissure,"Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",,30,5,ground,physical
91,dig,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.",80,100,10,ground,physical
92,toxic,Badly poisons the target.  Never misses when used by a poison-type Pokémon.,,90,10,poison,status
93,confusion,Inflicts regular damage.  Has a 10% chance to confuse the target.,50,100,25,psychic,special
94,psychic,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.,90,100,10,psychic,special
95,hypnosis,Puts the target to sleep.,,60,20,psychic,status
96,meditate,Raises the user's Attack by one stage.,,,40,psychic,status
97,agility,Raises the user's Speed by two stages.,,,30,psychic,status
98,quick-attack,Inflicts regular damage.,40,100,30,normal,physical
99,rage,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.",20,100,20,normal,physical
100,teleport,Does nothing.  Wild battles end immediately.,,,20,psychic,status
101,night-shade,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored.",,100,15,ghost,special
102,mimic,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",,,10,normal,status
103,screech,Lowers the target's Defense by two stages.,,85,40,normal,status
104,double-team,Raises the user's evasion by one stage.,,,15,normal,status
105,recover,Heals the user for half its max HP.,,,5,normal,status
106,harden,Raises the user's Defense by one stage.,,,30,normal,status
107,minimize,"Raises the user's evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",,,10,normal,status
108,smokescreen,Lowers the target's accuracy by one stage.,,100,20,normal,status
109,confuse-ray,Confuses the target.,,100,10,ghost,status
110,withdraw,Raises the user's Defense by one stage.,,,40,water,status
111,defense-curl,"Raises user's Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.",,,40,normal,status
112,barrier,Raises the user's Defense by two stages.,,,20,psychic,status
113,light-screen,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",,,30,psychic,status
114,haze,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke.",,,30,ice,status
115,reflect,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",,,20,psychic,status
116,focus-energy,"User's critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass.",,,30,normal,status
117,bide,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk.",,,10,normal,physical
118,metronome,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.",,,10,normal,status
119,mirror-move,"Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore.",,,20,flying,status
120,self-destruct,"User faints, even if the attack fails or misses.  Inflicts regular damage.",200,100,5,normal,physical
121,egg-bomb,Inflicts regular damage.,100,75,10,normal,physical
122,lick,Inflicts regular damage.  Has a 30% chance to paralyze the target.,30,100,30,ghost,physical
123,smog,Inflicts regular damage.  Has a 40% chance to poison the target.,30,70,20,poison,special
124,sludge,Inflicts regular damage.  Has a 30% chance to poison the target.,65,100,20,poison,special
125,bone-club,Inflicts regular damage.  Has a 10% chance to make the target flinch.,65,85,20,ground,physical
126,fire-blast,Inflicts regular damage.  Has a 10% chance to burn the target.,110,85,5,fire,special
127,waterfall,Inflicts regular damage.  Has a 20% chance to make the target flinch.,80,100,15,water,physical
128,clamp,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",35,85,15,water,physical
129,swift,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,60,,20,normal,special
130,skull-bash,"Inflicts regular damage.  Raises the user's Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk.",130,100,10,normal,physical
131,spike-cannon,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",20,100,15,normal,physical
132,constrict,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.,10,100,35,normal,physical
133,amnesia,Raises the user's Special Defense by two stages.,,,20,psychic,status
134,kinesis,Lowers the target's accuracy by one stage.,,80,15,psychic,status
135,soft-boiled,Heals the user for half its max HP.,,,5,normal,status
136,high-jump-kick,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.",130,90,10,fighting,physical
137,glare,Paralyzes the target.,,100,30,normal,status
138,dream-eater,Fails if not used on a sleeping Pokémon.  Inflicts regular damage.  Drains half the damage inflicted to heal the user.,100,100,15,psychic,special
139,poison-gas,Poisons the target.,,90,40,poison,status
140,barrage,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",15,85,20,normal,physical
141,leech-life,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,80,100,10,bug,physical
142,lovely-kiss,Puts the target to sleep.,,75,10,normal,status
143,sky-attack,"Inflicts regular damage.  User charges for one turn before attacking.  Critical hit chance is one level higher than normal.  Has a 30% chance to make the target flinch.

This move cannot be selected by sleep talk.",140,90,5,flying,physical
144,transform,"User copies the target's species, weight, type, ability, calculated stats (except HP), and moves.  Copied moves will all have 5 PP remaining.  IVs are copied for the purposes of hidden power, but stats are not recalculated.

choice band, choice scarf, and choice specs stay in effect, and the user must select a new move.

This move cannot be copied by mirror move, nor forced by encore.",,,10,normal,status
145,bubble,Inflicts regular damage.  Has a 10% chance to lower the target's Speed by one stage.,40,100,30,water,special
146,dizzy-punch,Inflicts regular damage.  Has a 20% chance to confuse the target.,70,100,10,normal,physical
147,spore,Puts the target to sleep.,,100,15,grass,status
148,flash,Lowers the target's accuracy by one stage.,,100,20,normal,status
149,psywave,"Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%.",,100,15,psychic,special
150,splash,"Does nothing.

This move cannot be used while gravity is in effect.",,,40,normal,status
151,acid-armor,Raises the user's Defense by two stages.,,,20,poison,status
152,crabhammer,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,100,90,10,water,physical
153,explosion,"User faints, even if the attack fails or misses.  Inflicts regular damage.",250,100,5,normal,physical
154,fury-swipes,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",18,80,15,normal,physical
155,bonemerang,Inflicts regular damage.  Hits twice in one turn.,50,90,10,ground,physical
156,rest,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.

This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep.",,,5,psychic,status
157,rock-slide,Inflicts regular damage.  Has a 30% chance to make the target flinch.,75,90,10,rock,physical
158,hyper-fang,Inflicts regular damage.  Has a 10% chance to make the target flinch.,80,90,15,normal,physical
159,sharpen,Raises the user's Attack by one stage.,,,30,normal,status
160,conversion,"User's type changes to the type of one of its moves, selected at random.  hidden power and weather ball are treated as normal.  Only moves with a different type are eligible, and curse is never eligible.  If the user has no suitable moves, this move will fail.",,,30,normal,status
161,tri-attack,"Inflicts regular damage.  Has a 20% chance to burn, freeze, or paralyze the target.  One of these effects is selected at random; they do not each have independent chances to occur.",80,100,10,normal,special
162,super-fang,Inflicts typeless damage equal to half the target's remaining HP.,,90,10,normal,physical
163,slash,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,70,100,20,normal,physical
164,substitute,"Transfers 1/4 the user's max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.

The doll takes damage as normal, using the user's stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's HP still do so; the doll's HP does not influence any move.

The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.

Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.

It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.

The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.

life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.

The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.

The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon's stats and types for damage calculation.

All other effects work as normal.",,,10,normal,status
165,struggle,"Inflicts typeless regular damage.  User takes 1/4 its max HP in recoil.  Ignores accuracy and evasion modifiers.

This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time.

This move's recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head.  It also is not prevented by magic guard.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore.",50,,1,normal,physical
166,sketch,"Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will fail.

This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore.",,,1,normal,status
167,triple-kick,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.

skill link does not apply.",10,90,10,fighting,physical
168,thief,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",60,100,25,dark,physical
169,spider-web,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",,,10,bug,status
170,mind-reader,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",,,5,normal,status
171,nightmare,"Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends.",,100,15,ghost,status
172,flame-wheel,"Inflicts regular damage.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",60,100,25,fire,physical
173,snore,Only usable if the user is sleeping.  Inflicts regular damage.  Has a 30% chance to make the target flinch.,50,100,15,normal,special
174,curse,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.
Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each.

The curse effect is passed on by baton pass.

This move cannot be copied by mirror move.",,,10,ghost,status
175,flail,"Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
",,100,15,normal,physical
176,conversion-2,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail.",,,30,normal,status
177,aeroblast,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.,100,95,5,flying,special
178,cotton-spore,Lowers the target's Speed by two stages.,,100,40,grass,status
179,reversal,"Inflicts regular damage.  Power varies inversely with the user's proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
",,100,15,fighting,physical
180,spite,"Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail.",,100,10,ghost,status
181,powder-snow,Inflicts regular damage.  Has a 10% chance to freeze the target.,40,100,25,ice,special
